propertyKey
id
path
createdAt
index
text
chunk_index
embedding
source
target
fileName
fileSize
fileType
status
fileSource
updatedAt
processingTime
errorMessage
nodeCount
relationshipCount
model
is_cancelled
total_chunks
processed_chunk
chunkNodeCount
chunkRelCount
entityNodeCount
entityEntityRelCount
communityNodeCount
communityRelCount
position
length
content_offset
page_number
score
description
